Aerosol,LWP,r_v,re,tau_c,Albedo
sulfate,5.276346e+01,7.000000e-06,2.536443e-08,3.120322e+09,1.000000e+00
sea salt,3.601136e+00,7.000000e-06,8.282513e-07,6.521818e+06,9.999980e-01
