height_m,radius_micron,concentration_m3
0.0,0.0008950311643002103,9.531331997465128e-10
0.0,0.0009207519485219276,9.836711805594428e-10
0.0,0.0009472118787838806,1.015292877274464e-09
0.0,0.0009744321961518195,1.0480409538363319e-09
0.0,0.0010024347521024957,1.0819598706933964e-09
0.0,0.001031242026065228,1.1170959617225449e-09
0.0,0.0010608771434675686,1.153497514152704e-09
0.0,0.0010913638942995525,1.1912148515629112e-09
0.0,0.0011227267522114321,1.2303004200295587e-09
0.0,0.0011549908941602299,1.270808877495734e-09
0.0,0.0011881822206208795,1.3127971864334546e-09
0.0,0.001222327376378182,1.3563247098672158e-09
0.0,0.0012574537719162665,1.4014533108245055e-09
0.0,0.001293589605422724,1.448247455275707e-09
0.0,0.001330763885425084,1.4967743186223743e-09
0.0,0.0013690064540778017,1.5471038957888495e-09
0.0,0.0014083480111184488,1.5993091149678889e-09
0.0,0.0014488201385123415,1.653465955066272e-09
0.0,0.00149045532580539,1.7096535668911916e-09
0.0,0.0015332869962055183,1.7679543981127627e-09
0.0,0.0015773495334135959,1.8284543220320248e-09
0.0,0.0016226783092254176,1.891242770177609e-09
0.0,0.0016693097119268878,1.95641286874748e-09
0.0,0.0017172811755052073,2.0240615789052808e-09
0.0,0.001766631209699515,2.09428984093335e-09
0.0,0.0018173994309150965,2.1672027222368985e-09
0.0,0.0018696265940259889,2.242909569185831e-09
0.0,0.0019233546250915048,2.3215241627724757e-09
0.0,0.0019786266550129434,2.4031648780550523e-09
0.0,0.0020354870541575,2.487954847347998e-09
0.0,0.002093981467977177,2.5760221271114023e-09
0.0,0.0021541568536512902,2.6674998684829245e-09
0.0,0.0022160615177819728,2.7625264913863835e-09
0.0,0.0022797451551729527,2.8612458621421215e-09
0.0,0.0023452588887227276,2.9638074744952237e-09
0.0,0.0024126553104641593,3.070366633968532e-09
0.0,0.0024819885237834377,3.181084645438496e-09
0.0,0.0025533141868523063,3.2961290038232623e-09
0.0,0.0026266895573084023,3.4156735877637773e-09
0.0,0.0027021735382196034,3.539898856170772e-09
0.0,0.002779826725369261,3.6689920475025966e-09
0.0,0.0028597114559002794,3.803147381631874e-09
0.0,0.0029418918583570958,3.942566264152308e-09
0.0,0.0030264339041657365,4.087457492971268e-09
0.0,0.0031134054605932706,4.238037467028774e-09
0.0,0.0032028763452291685,4.394530396979567e-09
0.0,0.0032949183820323137,4.557168517672259e-09
0.0,0.003389605458988661,4.726192302257895e-09
0.0,0.0034870135874258057,4.901850677760247e-09
0.0,0.003587220963032106,5.084401241941697e-09
0.0,0.0036903080286293227,5.274110481301841e-09
0.0,0.003796357538749183,5.471253990051194e-09
0.0,0.0039054546260656924,5.676116689909796e-09
0.0,0.004017686869736539,5.888993050590108e-09
0.0,0.004133144365708446,6.110187310835897e-09
0.0,0.004251919799042896,6.340013699903407e-09
0.0,0.004374108518320326,6.578796659388956e-09
0.0,0.004499808612182484,6.826871065327435e-09
0.0,0.004629120988074402,7.0845824505097884e-09
0.0,0.004762149453249216,7.352287226994504e-09
0.0,0.004899000798100836,7.630352908817811e-09
0.0,0.005039784881891364,7.919158334940652e-09
0.0,0.005184614720942109,8.219093892506954e-09
0.0,0.005333606579358965,8.530561740527307e-09
0.0,0.005486880062364981,8.853976034144816e-09
0.0,0.005644558212315071,9.189763149685583e-09
0.0,0.005806767607469921,9.538361910744934e-09
0.0,0.005973638463608395,9.900223815610916e-09
0.0,0.006145304738560007,1.0275813266380158e-08
0.0,0.0063219042397413775,1.066560780017565e-08
0.0,0.006503578734782991,1.1070098322932744e-08
0.0,0.006690474065335076,1.148978934627652e-08
0.0,0.006882740264143949,1.1925199228071393e-08
0.0,0.007080531675492831,1.2376860417281978e-08
0.0,0.007284007079103805,1.28453197038399e-08
0.0,0.007493329817600371,1.3331138474268413e-08
0.0,0.007708667927632942,1.3834892973868834e-08
0.0,0.007930194274772536,1.4357174576325345e-08
0.0,0.008158086692280927,1.4898590061632081e-08
0.0,0.00839252812386871,1.5459761903291113e-08
0.0,0.008633706770555829,1.6041328565770356e-08
0.0,0.008881816241752476,1.6643944813245715e-08
0.0,0.009137055710681664,1.7268282030682677e-08
0.0,0.009399630074268209,1.791502855833695e-08
0.0,0.009669750117622503,1.8584890040773488e-08
0.0,0.009947632683251103,1.9278589791515518e-08
0.0,0.010233500845129972,1.9996869174443562e-08
0.0,0.010527584087780128,2.07404880030636e-08
0.0,0.010830118490489433,2.1510224958759836e-08
0.0,0.011141346916828427,2.2306878029135147e-08
0.0,0.011461519209612324,2.3131264967526705e-08
0.0,0.011790892391465715,2.398422377476133e-08
0.0,0.012129730871150941,2.486661320418834e-08
0.0,0.012478306655825777,2.577931329099733e-08
0.0,0.012836899569400862,2.6723225906791832e-08
0.0,0.013205797477172113,2.7699275340353975e-08
0.0,0.013585296516908468,2.8708408905492173e-08
0.0,0.013975701336580479,2.975159757682428e-08
0.0,0.014377325338920562,3.082983665430394e-08
0.0,0.01479049093301128,3.194414645725572e-08
0.0,0.015215529793103581,3.309557304864031e-08
0.0,0.01565278312487278,3.428518899023148e-08
0.0,0.016102601939325986,3.551409412934523e-08
0.0,0.016565347334580947,3.678341641772523e-08
0.0,0.017041390785742433,3.809431276315417e-08
0.0,0.017531114443108876,3.944796991432996e-08
0.0,0.01803491143894867,4.0845605379520163e-08
0.0,0.0185531862030924,4.2288468379484443e-08
0.0,0.019086354787594358,4.3777840835139386e-08
0.0,0.01963484520072392,4.5315038390425244e-08
0.0,0.02019909775055497,4.6901411470829874e-08
0.0,0.020779565398429112,4.8538346378018726e-08
0.0,0.021376714122576537,5.02272664210284e-08
0.0,0.021991023292186315,5.1969633084485144e-08
0.0,0.022622986052226436,5.3766947234323645e-08
0.0,0.02327310971932264,5.5620750361501676e-08
0.0,0.02394191618901364,5.753262586422861e-08
0.0,0.02462994235470982,5.950420036925137e-08
0.0,0.02533774053869165,6.153714509277691e-08
0.0,0.026065878935493832,6.363317724164135e-08
0.0,0.026814942068031155,6.579406145538258e-08
0.0,0.02758553125683212,6.802161128990678e-08
0.0,0.028378265102757105,7.031769074349464e-08
0.0,0.029193779983588537,7.268421582593846e-08
0.0,0.030032730564891766,7.512315617164816e-08
0.0,0.030895790325556664,7.763653669762734e-08
0.0,0.03178365209844184,8.022643930726976e-08
0.0,0.032697028626555616,8.28950046409842e-08
0.0,0.03363665313522005,8.564443387471961e-08
0.0,0.03460327992067749,8.84769905675165e-08
0.0,0.03559768495561201,9.139500255927755e-08
0.0,0.03662066651207195,9.440086392001088e-08
0.0,0.03767304580229355,9.749703695185861e-08
0.0,0.03875566763794021,1.0068605424529517e-07
0.0,0.03986940110828639,1.0397052079093969e-07
0.0,0.041015140277890744,1.0735311614849031e-07
0.0,0.04219380490431848,1.108365966743572e-07
0.0,0.04340634117648922,1.144237978096375e-07
0.0,0.04465372247424284,1.181176364301407e-07
0.0,0.04593695014973327,1.2192111326023198e-07
0.0,0.047257054331277464,1.2583731535235178e-07
0.0,0.048615094750304774,1.298694186341033e-07
0.0,0.050012161592070656,1.340206905249029e-07
0.0,0.05144937637081756,1.3829449262423066e-07
0.0,0.05292789283008563,1.4269428347360425e-07
0.0,0.054448897868895854,1.4722362139446128e-07
0.0,0.056013612494549336,1.5188616740421075e-07
0.0,0.05762329280280725,1.566856882127836e-07
0.0,0.05927923098623872,1.6162605930208943e-07
0.0,0.06098275637154582,1.6671126809085245e-07
0.0,0.06273523648669853,1.7194541718738783e-07
0.0,0.06453807815873616,1.7733272773294037e-07
0.0,0.06639272864311684,1.8287754283830513e-07
0.0,0.06830067678552124,1.8858433111650578e-07
0.0,0.07026345421704362,1.9445769031440663e-07
0.0,0.07228263658372927,2.005023510462182e-07
0.0,0.07435984481144557,2.067231806319108e-07
0.0,0.07649674640710225,2.1312518704368905e-07
0.0,0.07869505679726489,2.1971352296371223e-07
0.0,0.08095654070523675,2.2649348995638595e-07
0.0,0.08328301356771424,2.3347054275860813e-07
0.0,0.08567634299215317,2.4065029369145796e-07
0.0,0.08813845025601585,2.480385171969425e-07
0.0,0.09067131184910243,2.556411545034589e-07
0.0,0.09327696106020472,2.6346431842378413e-07
0.0,0.09595748960935624,2.7151429828950067e-07
0.0,0.09871504932698869,2.7979756502584225e-07
0.0,0.10155185388134275,2.8832077637111164e-07
0.0,0.10447018055552017,2.970907822448809e-07
0.0,0.10747237207560353,3.061146302693438e-07
0.0,0.110560838491311,3.153995714483047e-07
0.0,0.11373805911069639,3.2495306600838527e-07
0.0,0.11700658449044718,3.347827894072024e-07
0.0,0.12036903848337818,3.448966385133766e-07
0.0,0.12382812034476473,3.553027379633649e-07
0.0,0.12738660689920636,3.660094467002739e-07
0.0,0.13104735476976007,3.770253646999289e-07
0.0,0.13481330267113317,3.883593398896478e-07
0.0,0.13868747376877583,4.0002047526529875e-07
0.0,0.14267297810576812,4.120181362123981e-07
0.0,0.14677301509944912,4.243619580371535e-07
0.0,0.15099087610979217,4.370618537135317e-07
0.0,0.15532994708158837,4.501280218526164e-07
0.0,0.15979371126255965,4.6357095490063714e-07
0.0,0.1643857519995826,4.774014475723507e-07
0.0,0.16910975561526886,4.916306055264984e-07
0.0,0.1739695143672097,5.062698542903945e-07
0.0,0.17896892949226234,5.213309484407747e-07
0.0,0.1841120143383205,5.368259810483645e-07
0.0,0.18940289758608336,5.527673933936969e-07
0.0,0.1948458265634096,5.691679849620809e-07
0.0,0.20044517065491724,5.860409237257014e-07
0.0,0.206205424809566,6.033997567211496e-07
0.0,0.21213121314903816,6.212584209309134e-07
0.0,0.21822729267981472,6.396312544775367e-07
0.0,0.22449855711192612,6.585330081394954e-07
0.0,0.23095004078744416,6.779788571980231e-07
0.0,0.23758692272186827,6.979844136244251e-07
0.0,0.24441453076164965,7.185657386176754e-07
0.0,0.2514383458611918,7.397393555023745e-07
1.0,0.0008950311643002103,9.531708547636159e-10
1.0,0.0009207519485219276,9.837128006385954e-10
1.0,0.0009472118787838806,1.0153388515464547e-09
1.0,0.0009744321961518195,1.048091707808513e-09
1.0,0.0010024347521024957,1.0820158695448453e-09
1.0,0.001031242026065228,1.1171577138886828e-09
1.0,0.0010608771434675686,1.1535655752235944e-09
1.0,0.0010913638942995525,1.1912898285213224e-09
1.0,0.0011227267522114321,1.2303829758568774e-09
1.0,0.0011549908941602299,1.2708997361759096e-09
1.0,0.0011881822206208795,1.3128971383874293e-09
1.0,0.001222327376378182,1.3564346178526767e-09
1.0,0.0012574537719162665,1.4015741163383069e-09
1.0,0.001293589605422724,1.4483801854990335e-09
1.0,0.001330763885425084,1.4969200939515113e-09
1.0,0.0013690064540778017,1.5472639379974312e-09
1.0,0.0014083480111184488,1.5994847560496572e-09
1.0,0.0014488201385123415,1.6536586468106573e-09
1.0,0.00149045532580539,1.7098648912475375e-09
1.0,0.0015332869962055183,1.7681860784026162e-09
1.0,0.0015773495334135959,1.8287082350727525e-09
1.0,0.0016226783092254176,1.8915209593845167e-09
1.0,0.0016693097119268878,1.9567175582857754e-09
1.0,0.0017172811755052073,2.02439518896745e-09
1.0,0.001766631209699515,2.0946550042219687e-09
1.0,0.0018173994309150965,2.1676023017374215e-09
1.0,0.0018696265940259889,2.2433466773185904e-09
1.0,0.0019233546250915048,2.322002182017933e-09
1.0,0.0019786266550129434,2.403687483151178e-09
1.0,0.0020354870541575,2.488526029163646e-09
1.0,0.002093981467977177,2.5766462183045716e-09
1.0,0.0021541568536512902,2.66818157105778e-09
1.0,0.0022160615177819728,2.7632709062679652e-09
1.0,0.0022797451551729527,2.8620585208926982e-09
1.0,0.0023452588887227276,2.9646943733010796e-09
1.0,0.0024126553104641593,3.071334270030821e-09
1.0,0.0024819885237834377,3.1821400559064273e-09
1.0,0.0025533141868523063,3.2972798074122157e-09
1.0,0.0026266895573084023,3.41692802920518e-09
1.0,0.0027021735382196034,3.5412658536442398e-09
1.0,0.002779826725369261,3.6704812432043154e-09
1.0,0.0028597114559002794,3.80476919563608e-09
1.0,0.0029418918583570958,3.944331951725067e-09
1.0,0.0030264339041657365,4.089379205497503e-09
1.0,0.0031134054605932706,4.240128316714509e-09
1.0,0.0032028763452291685,4.396804525491637e-09
1.0,0.0032949183820323137,4.559641168876976e-09
1.0,0.003389605458988661,4.728879899218656e-09
1.0,0.0034870135874258057,4.904770904151354e-09
1.0,0.003587220963032106,5.087573128031835e-09
1.0,0.0036903080286293227,5.277554494655653e-09
1.0,0.003796357538749183,5.474992131091063e-09
1.0,0.0039054546260656924,5.680172592472199e-09
1.0,0.004017686869736539,5.8933920876018384e-09
1.0,0.004133144365708446,6.1149567052247316e-09
1.0,0.004251919799042896,6.345182640845729e-09
1.0,0.004374108518320326,6.5843964239830375e-09
1.0,0.004499808612182484,6.832935145765849e-09
1.0,0.004629120988074402,7.091146686807597e-09
1.0,0.004762149453249216,7.359389945311432e-09
1.0,0.004899000798100836,7.63803506539285e-09
1.0,0.005039784881891364,7.927463665636311e-09
1.0,0.005184614720942109,8.228069067937784e-09
1.0,0.005333606579358965,8.540256526723732e-09
1.0,0.005486880062364981,8.864443458678637e-09
1.0,0.005644558212315071,9.201059673158064e-09
1.0,0.005806767607469921,9.550547603512333e-09
1.0,0.005973638463608395,9.913362539596015e-09
1.0,0.006145304738560007,1.0289972861791787e-08
1.0,0.0063219042397413775,1.0680860276932302e-08
1.0,0.006503578734782991,1.1086520056560352e-08
1.0,0.006690474065335076,1.1507461278026145e-08
1.0,0.006882740264143949,1.1944207068978835e-08
1.0,0.007080531675492831,1.2397294855869302e-08
1.0,0.007284007079103805,1.28672766171393e-08
1.0,0.007493329817600371,1.3354719141830761e-08
1.0,0.007708667927632942,1.386020429440444e-08
1.0,0.007930194274772536,1.4384329286612365e-08
1.0,0.008158086692280927,1.4927706957318945e-08
1.0,0.00839252812386871,1.549096606121441e-08
1.0,0.008633706770555829,1.6074751567407708e-08
1.0,0.008881816241752476,1.6679724968925415e-08
1.0,0.009137055710681664,1.7306564604178805e-08
1.0,0.009399630074268209,1.7955965991488177e-08
1.0,0.009669750117622503,1.8628642177779427e-08
1.0,0.009947632683251103,1.9325324102582724e-08
1.0,0.010233500845129972,2.0046760978475408e-08
1.0,0.010527584087780128,2.0793720689115897e-08
1.0,0.010830118490489433,2.156699020601309e-08
1.0,0.011141346916828427,2.2367376025168593e-08
1.0,0.011461519209612324,2.319570462471445e-08
1.0,0.011790892391465715,2.405282294465097e-08
1.0,0.012129730871150941,2.493959888976278e-08
1.0,0.012478306655825777,2.5856921856762864e-08
1.0,0.012836899569400862,2.680570328668034e-08
1.0,0.013205797477172113,2.7786877243470025e-08
1.0,0.013585296516908468,2.880140101978205e-08
1.0,0.013975701336580479,2.9850255770786374e-08
1.0,0.014377325338920562,3.093444717690469e-08
1.0,0.01479049093301128,3.205500613625513e-08
1.0,0.015215529793103581,3.321298948757297e-08
1.0,0.01565278312487278,3.4409480764324847e-08
1.0,0.016102601939325986,3.5645590980692075e-08
1.0,0.016565347334580947,3.692245945005873e-08
1.0,0.017041390785742433,3.8241254636601925e-08
1.0,0.017531114443108876,3.9603175040547434e-08
1.0,0.01803491143894867,4.100945011762455e-08
1.0,0.0185531862030924,4.246134123322562e-08
1.0,0.019086354787594358,4.396014265175626e-08
1.0,0.01963484520072392,4.5507182561644284e-08
1.0,0.02019909775055497,4.71038241364631e-08
1.0,0.020779565398429112,4.8751466632621036e-08
1.0,0.021376714122576537,5.0451546524064004e-08
1.0,0.021991023292186315,5.2205538674443806e-08
1.0,0.022622986052226436,5.401495754721613e-08
1.0,0.02327310971932264,5.588135845414094e-08
1.0,0.02394191618901364,5.7806338842682987e-08
1.0,0.02462994235470982,5.979153962282896e-08
1.0,0.02533774053869165,6.18386465338699e-08
1.0,0.026065878935493832,6.394939155172534e-08
1.0,0.026814942068031155,6.612555433742806e-08
1.0,0.02758553125683212,6.836896372741913e-08
1.0,0.028378265102757105,7.068149926635326e-08
1.0,0.029193779983588537,7.30650927831601e-08
1.0,0.030032730564891766,7.552173001114648e-08
1.0,0.030895790325556664,7.80534522529872e-08
1.0,0.03178365209844184,8.066235809149785e-08
1.0,0.032697028626555616,8.335060514713672e-08
1.0,0.03363665313522005,8.612041188324408e-08
1.0,0.03460327992067749,8.897405946007856e-08
1.0,0.03559768495561201,9.191389363877175e-08
1.0,0.03662066651207195,9.494232673637877e-08
1.0,0.03767304580229355,9.806183963325732e-08
1.0,0.03875566763794021,1.0127498383407467e-07
1.0,0.03986940110828639,1.0458438358378767e-07
1.0,0.041015140277890744,1.0799273804000474e-07
1.0,0.04219380490431848,1.1150282350319307e-07
1.0,0.04340634117648922,1.1511749570624819e-07
1.0,0.04465372247424284,1.1883969216500394e-07
1.0,0.04593695014973327,1.2267243459130882e-07
1.0,0.047257054331277464,1.2661883137036706e-07
1.0,0.048615094750304774,1.306820801040911e-07
1.0,0.050012161592070656,1.3486547022228378e-07
1.0,0.05144937637081756,1.3917238566353672e-07
1.0,0.05292789283008563,1.4360630762779112e-07
1.0,0.054448897868895854,1.4817081740258688e-07
1.0,0.056013612494549336,1.5286959926507506e-07
1.0,0.05762329280280725,1.5770644346193928e-07
1.0,0.05927923098623872,1.6268524926941903e-07
1.0,0.06098275637154582,1.678100281356624e-07
1.0,0.06273523648669853,1.730849069076458e-07
1.0,0.06453807815873616,1.7851413114494865e-07
1.0,0.06639272864311684,1.8410206852266043e-07
1.0,0.06830067678552124,1.898532123256829e-07
1.0,0.07026345421704362,1.9577218503675495e-07
1.0,0.07228263658372927,2.0186374202051628e-07
1.0,0.07435984481144557,2.081327753060195e-07
1.0,0.07649674640710225,2.1458431747016525e-07
1.0,0.07869505679726489,2.2122354562466233e-07
1.0,0.08095654070523675,2.2805578550922319e-07
1.0,0.08328301356771424,2.3508651569391073e-07
1.0,0.08567634299215317,2.423213718935673e-07
1.0,0.08813845025601585,2.497661513975395e-07
1.0,0.09067131184910243,2.574268176176449e-07
1.0,0.09327696106020472,2.653095047576672e-07
1.0,0.09595748960935624,2.734205226073653e-07
