Aerosol,LWP,r_v,re,tau_c,Albedo
sulfate,1.405333e+00,2.090483e-05,2.536443e-05,8.310849e+04,9.998396e-01
sea salt,7.750215e+03,9.037662e-04,8.282513e-04,1.403598e+07,9.999991e-01
